Client,Algorithm,Epochs,Batch_size,Accuracy,Loss
Client-1,FLAD,auto,auto,0.9679399132728577,0.24841229617595673
Client-2,FLAD,auto,auto,0.9302276968955994,0.33737969398498535
Client-3,FLAD,auto,auto,0.8911401033401489,0.3952338695526123
Client-4,FLAD,auto,auto,0.8480637073516846,0.43053925037384033
