Client,Algorithm,Epochs,Batch_size,Accuracy,Loss
Client-1,FedAvg,1,50,0.6957336664199829,0.46366578340530396
Client-2,FedAvg,1,50,0.7004386782646179,0.5215765237808228
Client-3,FedAvg,1,50,0.8877060413360596,0.3723660707473755
Client-4,FedAvg,1,50,0.9033193588256836,0.2475074827671051
