Model,Round,AvgF1,client-1(f1),client-1(loss),client-2(f1),client-2(loss),client-3(f1),client-3(loss),client-4(f1),client-4(loss)
*mlp,29,0.76116,0.78353,0.04346,0.62784,0.63146,0.79614,0.05174,0.83712,0.06867
mlp,30,0.63535,0.33926,0.03481,0.64609,0.28244,0.78188,0.06247,0.77417,0.06867
mlp,31,0.66007,0.82780,0.03063,0.19915,0.28244,0.74529,0.05073,0.86805,0.07334
mlp,32,0.53814,0.37266,0.03063,0.24504,0.36928,0.67650,0.05905,0.85836,0.07124
mlp,33,0.48670,0.29442,0.03063,0.06451,0.12138,0.71598,0.05338,0.87188,0.07261
mlp,34,0.57538,0.42102,0.02931,0.62395,0.12562,0.47798,0.04441,0.77855,0.07261
mlp,35,0.50823,0.45718,0.02752,0.23662,0.11197,0.61809,0.05177,0.72102,0.07261
mlp,36,0.54034,0.66959,0.03342,0.62878,0.12520,0.40688,0.04660,0.45610,0.07261
mlp,37,0.71396,0.96605,0.03309,0.23813,0.12520,0.77762,0.04536,0.87404,0.06621
mlp,38,0.65982,0.82319,0.03827,0.26205,0.23454,0.74566,0.04617,0.80837,0.06621
mlp,39,0.74005,0.97725,0.03136,0.26170,0.23454,0.84417,0.04624,0.87706,0.06891
mlp,40,0.68816,0.45597,0.03104,0.63310,0.13539,0.83109,0.04047,0.83248,0.06891
mlp,41,0.69645,0.83421,0.04959,0.20008,0.13539,0.87765,0.05316,0.87386,0.06354
mlp,42,0.75543,0.97695,0.03512,0.26096,0.13539,0.89371,0.03679,0.89012,0.06366
mlp,43,0.41372,0.70858,0.03142,0.05055,0.08471,0.02885,0.03679,0.86688,0.06540
mlp,44,0.62511,0.70971,0.03198,0.24535,0.08471,0.64904,0.03838,0.89634,0.06361
mlp,45,0.66154,0.82724,0.04293,0.26169,0.08471,0.64940,0.03693,0.90784,0.06673
mlp,46,0.56178,0.70267,0.02877,0.64195,0.09471,0.03033,0.03693,0.87218,0.07678
mlp,47,0.65416,0.83476,0.02370,0.22082,0.09471,0.64483,0.03888,0.91625,0.06992
mlp,48,0.70839,0.97717,0.02624,0.26177,0.09471,0.67748,0.04002,0.91714,0.06133
mlp,49,0.68772,0.83526,0.02534,0.21935,0.09471,0.77898,0.03941,0.91729,0.06992
mlp,50,0.53916,0.45514,0.02823,0.07225,0.12113,0.82198,0.04108,0.80726,0.06992
mlp,51,0.52573,0.45963,0.02405,0.07172,0.10441,0.84314,0.03724,0.72844,0.06992
mlp,52,0.51906,0.46118,0.02706,0.06613,0.11159,0.85714,0.03745,0.69180,0.06992
mlp,53,0.70676,0.98739,0.03723,0.05306,0.11159,0.89784,0.03770,0.88875,0.05462
mlp,54,0.60713,0.88332,0.04905,0.23971,0.07884,0.43990,0.03770,0.86559,0.05199
mlp,55,0.68910,0.70706,0.04905,0.26847,0.07697,0.89996,0.03935,0.88092,0.05170
mlp,56,0.74022,0.70695,0.02577,0.63210,0.12511,0.88220,0.04132,0.73961,0.05170
mlp,57,0.71497,0.84440,0.03449,0.21950,0.12511,0.89286,0.03947,0.90312,0.05551
mlp,58,0.63268,0.70184,0.03449,0.05692,0.07996,0.90287,0.03791,0.86912,0.05310
mlp,59,0.72954,0.70784,0.01920,0.53345,0.08487,0.87228,0.03412,0.80459,0.05310
mlp,60,0.56619,0.70796,0.05465,0.51826,0.17127,0.16772,0.03412,0.87082,0.06667
mlp,61,0.75386,0.69341,0.05465,0.53518,0.08444,0.89661,0.04097,0.89025,0.05547
*mlp,62,0.76795,0.65287,0.05465,0.62354,0.09825,0.90055,0.03818,0.89482,0.06640
mlp,63,0.69684,0.44914,0.02016,0.64517,0.09787,0.84905,0.05113,0.84402,0.06640
mlp,64,0.65873,0.83450,0.02642,0.05366,0.09787,0.83758,0.03724,0.90917,0.06301
mlp,65,0.76654,0.83571,0.03847,0.49155,0.09787,0.82123,0.03401,0.91767,0.05580
mlp,66,0.63837,0.82798,0.03577,0.03024,0.09787,0.78774,0.03742,0.90753,0.06187
mlp,67,0.62590,0.67109,0.03577,0.05996,0.09978,0.88655,0.03629,0.88601,0.05995
mlp,68,0.62697,0.70733,0.01942,0.05201,0.09978,0.82746,0.03988,0.92107,0.06538
