Model,Round,AvgF1,client-1(f1),client-1(loss),client-2(f1),client-2(loss),client-3(f1),client-3(loss),client-4(f1),client-4(loss)
*mlp,1,0.31711,0.41834,0.06794,0.01324,0.41567,0.00153,0.15436,0.83534,0.12113
*mlp,2,0.37723,0.63901,0.11452,0.01471,0.52381,0.00306,0.15436,0.85216,0.11125
*mlp,3,0.39395,0.04898,0.11452,0.61435,0.24216,0.05539,0.13166,0.85709,0.10056
*mlp,4,0.53754,0.04965,0.11452,0.65354,0.33734,0.56816,0.11285,0.87881,0.09832
mlp,5,0.51649,0.63692,0.06401,0.01887,0.33734,0.52888,0.11014,0.88130,0.09384
mlp,6,0.40530,0.72842,0.06781,0.01621,0.32380,0.02733,0.11014,0.84922,0.09120
mlp,7,0.42793,0.54404,0.05637,0.02837,0.37676,0.31079,0.10629,0.82852,0.09120
mlp,8,0.18922,0.51111,0.04402,0.02510,0.23929,0.02729,0.10629,0.19336,0.08808
mlp,9,0.39301,0.26429,0.04629,0.08691,0.13790,0.38638,0.11219,0.83447,0.08808
mlp,10,0.47358,0.49898,0.04618,0.02038,0.13790,0.52080,0.08916,0.85414,0.08694
mlp,11,0.38759,0.11965,0.04618,0.03635,0.21387,0.53499,0.09094,0.85939,0.08592
mlp,12,0.40873,0.06967,0.04618,0.20615,0.21274,0.51458,0.08868,0.84452,0.08536
mlp,13,0.52693,0.09459,0.04618,0.62312,0.14806,0.54097,0.09280,0.84903,0.08393
*mlp,14,0.57635,0.74756,0.03926,0.22171,0.14806,0.47232,0.08197,0.86383,0.09108
mlp,15,0.40816,0.23994,0.04218,0.23113,0.42469,0.36706,0.07607,0.79450,0.09108
*mlp,16,0.73725,0.78417,0.03556,0.64712,0.13671,0.71344,0.07823,0.80427,0.09108
mlp,17,0.67281,0.54490,0.04955,0.86340,0.14539,0.54774,0.06192,0.73519,0.09108
mlp,18,0.57164,0.83197,0.04346,0.22330,0.14539,0.37218,0.06655,0.85911,0.07603
mlp,19,0.48333,0.81530,0.04236,0.24083,0.35699,0.03172,0.06655,0.84547,0.07657
mlp,20,0.53339,0.97142,0.04032,0.26136,0.33893,0.06394,0.06655,0.83682,0.07338
mlp,21,0.65003,0.95449,0.03970,0.62438,0.35062,0.19137,0.06655,0.82987,0.07388
mlp,22,0.57484,0.82961,0.03149,0.19946,0.35062,0.37116,0.06109,0.89914,0.07461
mlp,23,0.57302,0.83317,0.02955,0.19590,0.35062,0.38054,0.06595,0.88249,0.07309
mlp,24,0.56343,0.63335,0.02916,0.24385,0.15951,0.55586,0.05430,0.82064,0.07309
mlp,25,0.38639,0.63501,0.03931,0.05272,0.11985,0.02877,0.05430,0.82906,0.07540
mlp,26,0.55959,0.83402,0.03973,0.22252,0.11985,0.30418,0.05296,0.87765,0.07259
mlp,27,0.53601,0.97572,0.03637,0.26317,0.20122,0.02870,0.05296,0.87647,0.07729
mlp,28,0.60782,0.97757,0.03629,0.24309,0.20122,0.30839,0.05027,0.90222,0.06867
