Model,BatchSize,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-1(f1),client-1(rounds),client-2(f1),client-2(rounds),client-3(f1),client-3(rounds),client-4(f1),client-4(rounds)
mlp,50,5,auto,fedavg,False,0,0 1 2 3,1,4,0.31711,0.34305,015.77,0.41834,1,0.01324,1,0.00153,1,0.83534,1
mlp,50,5,auto,fedavg,False,0,0 1 2 3,2,7,0.37723,0.37600,015.58,0.63901,2,0.01471,2,0.00306,1,0.85216,2
mlp,50,5,auto,fedavg,False,0,0 1 2 3,3,10,0.39395,0.35239,010.99,0.04898,2,0.61435,3,0.05539,2,0.85709,3
mlp,50,5,auto,fedavg,False,0,0 1 2 3,4,13,0.53754,0.30368,011.25,0.04965,2,0.65354,4,0.56816,3,0.87881,4
mlp,50,5,auto,fedavg,False,0,0 1 2 3,5,16,0.53754,0.30368,016.02,0.04965,3,0.65354,4,0.56816,4,0.87881,5
mlp,50,5,auto,fedavg,False,0,0 1 2 3,6,19,0.53754,0.30368,015.73,0.04965,4,0.65354,5,0.56816,4,0.87881,6
mlp,50,5,auto,fedavg,False,0,0 1 2 3,7,22,0.53754,0.30368,016.28,0.04965,5,0.65354,6,0.56816,5,0.87881,6
mlp,50,5,auto,fedavg,False,0,0 1 2 3,8,25,0.53754,0.30368,015.84,0.04965,6,0.65354,7,0.56816,5,0.87881,7
mlp,50,5,auto,fedavg,False,0,0 1 2 3,9,28,0.53754,0.30368,015.72,0.04965,7,0.65354,8,0.56816,6,0.87881,7
mlp,50,5,auto,fedavg,False,0,0 1 2 3,10,31,0.53754,0.30368,015.99,0.04965,8,0.65354,8,0.56816,7,0.87881,8
mlp,50,5,auto,fedavg,False,0,0 1 2 3,11,34,0.53754,0.30368,011.15,0.04965,8,0.65354,9,0.56816,8,0.87881,9
mlp,50,5,auto,fedavg,False,0,0 1 2 3,12,37,0.53754,0.30368,010.96,0.04965,8,0.65354,10,0.56816,9,0.87881,10
mlp,50,5,auto,fedavg,False,0,0 1 2 3,13,40,0.53754,0.30368,011.16,0.04965,8,0.65354,11,0.56816,10,0.87881,11
mlp,50,5,auto,fedavg,False,0,0 1 2 3,14,43,0.57635,0.24927,015.78,0.74756,9,0.22171,11,0.47232,11,0.86383,12
mlp,50,5,auto,fedavg,False,0,0 1 2 3,15,46,0.57635,0.24927,015.89,0.74756,10,0.22171,12,0.47232,12,0.86383,12
mlp,50,5,auto,fedavg,False,0,0 1 2 3,16,49,0.73725,0.06202,016.19,0.78417,11,0.64712,13,0.71344,13,0.80427,12
mlp,50,5,auto,fedavg,False,0,0 1 2 3,17,52,0.73725,0.06202,015.74,0.78417,12,0.64712,14,0.71344,14,0.80427,12
mlp,50,5,auto,fedavg,False,0,0 1 2 3,18,55,0.73725,0.06202,016.16,0.78417,13,0.64712,14,0.71344,15,0.80427,13
mlp,50,5,auto,fedavg,False,0,0 1 2 3,19,58,0.73725,0.06202,015.91,0.78417,14,0.64712,15,0.71344,15,0.80427,14
mlp,50,5,auto,fedavg,False,0,0 1 2 3,20,61,0.73725,0.06202,016.23,0.78417,15,0.64712,16,0.71344,15,0.80427,15
mlp,50,5,auto,fedavg,False,0,0 1 2 3,21,64,0.73725,0.06202,015.82,0.78417,16,0.64712,17,0.71344,15,0.80427,16
mlp,50,5,auto,fedavg,False,0,0 1 2 3,22,67,0.73725,0.06202,016.23,0.78417,17,0.64712,17,0.71344,16,0.80427,17
mlp,50,5,auto,fedavg,False,0,0 1 2 3,23,70,0.73725,0.06202,016.14,0.78417,18,0.64712,17,0.71344,17,0.80427,18
mlp,50,5,auto,fedavg,False,0,0 1 2 3,24,73,0.73725,0.06202,016.52,0.78417,19,0.64712,18,0.71344,18,0.80427,18
mlp,50,5,auto,fedavg,False,0,0 1 2 3,25,76,0.73725,0.06202,016.37,0.78417,20,0.64712,19,0.71344,18,0.80427,19
mlp,50,5,auto,fedavg,False,0,0 1 2 3,26,79,0.73725,0.06202,015.62,0.78417,21,0.64712,19,0.71344,19,0.80427,20
mlp,50,5,auto,fedavg,False,0,0 1 2 3,27,82,0.73725,0.06202,015.89,0.78417,22,0.64712,20,0.71344,19,0.80427,21
mlp,50,5,auto,fedavg,False,0,0 1 2 3,28,85,0.73725,0.06202,015.75,0.78417,23,0.64712,20,0.71344,20,0.80427,22
mlp,50,5,auto,fedavg,False,0,0 1 2 3,29,88,0.76116,0.07948,016.17,0.78353,24,0.62784,21,0.79614,21,0.83712,22
mlp,50,5,auto,fedavg,False,0,0 1 2 3,30,91,0.76116,0.07948,016.09,0.78353,25,0.62784,22,0.79614,22,0.83712,22
mlp,50,5,auto,fedavg,False,0,0 1 2 3,31,94,0.76116,0.07948,015.86,0.78353,26,0.62784,22,0.79614,23,0.83712,23
mlp,50,5,auto,fedavg,False,0,0 1 2 3,32,97,0.76116,0.07948,011.21,0.78353,26,0.62784,23,0.79614,24,0.83712,24
mlp,50,5,auto,fedavg,False,0,0 1 2 3,33,100,0.76116,0.07948,011.05,0.78353,26,0.62784,24,0.79614,25,0.83712,25
mlp,50,5,auto,fedavg,False,0,0 1 2 3,34,103,0.76116,0.07948,015.73,0.78353,27,0.62784,25,0.79614,26,0.83712,25
mlp,50,5,auto,fedavg,False,0,0 1 2 3,35,106,0.76116,0.07948,015.94,0.78353,28,0.62784,26,0.79614,27,0.83712,25
mlp,50,5,auto,fedavg,False,0,0 1 2 3,36,109,0.76116,0.07948,015.82,0.78353,29,0.62784,27,0.79614,28,0.83712,25
mlp,50,5,auto,fedavg,False,0,0 1 2 3,37,112,0.76116,0.07948,015.67,0.78353,30,0.62784,27,0.79614,29,0.83712,26
mlp,50,5,auto,fedavg,False,0,0 1 2 3,38,115,0.76116,0.07948,015.57,0.78353,31,0.62784,28,0.79614,30,0.83712,26
mlp,50,5,auto,fedavg,False,0,0 1 2 3,39,118,0.76116,0.07948,016.01,0.78353,32,0.62784,28,0.79614,31,0.83712,27
mlp,50,5,auto,fedavg,False,0,0 1 2 3,40,121,0.76116,0.07948,015.76,0.78353,33,0.62784,29,0.79614,32,0.83712,27
mlp,50,5,auto,fedavg,False,0,0 1 2 3,41,124,0.76116,0.07948,015.82,0.78353,34,0.62784,29,0.79614,33,0.83712,28
mlp,50,5,auto,fedavg,False,0,0 1 2 3,42,127,0.76116,0.07948,020.61,0.78353,35,0.62784,29,0.79614,34,0.83712,29
mlp,50,5,auto,fedavg,False,0,0 1 2 3,43,130,0.76116,0.07948,015.98,0.78353,36,0.62784,30,0.79614,34,0.83712,30
mlp,50,5,auto,fedavg,False,0,0 1 2 3,44,133,0.76116,0.07948,015.92,0.78353,37,0.62784,30,0.79614,35,0.83712,31
mlp,50,5,auto,fedavg,False,0,0 1 2 3,45,136,0.76116,0.07948,016.22,0.78353,38,0.62784,30,0.79614,36,0.83712,32
mlp,50,5,auto,fedavg,False,0,0 1 2 3,46,139,0.76116,0.07948,016.01,0.78353,39,0.62784,31,0.79614,36,0.83712,33
mlp,50,5,auto,fedavg,False,0,0 1 2 3,47,142,0.76116,0.07948,015.79,0.78353,40,0.62784,31,0.79614,37,0.83712,34
mlp,50,5,auto,fedavg,False,0,0 1 2 3,48,145,0.76116,0.07948,015.73,0.78353,41,0.62784,31,0.79614,38,0.83712,35
mlp,50,5,auto,fedavg,False,0,0 1 2 3,49,148,0.76116,0.07948,016.36,0.78353,42,0.62784,31,0.79614,39,0.83712,36
mlp,50,5,auto,fedavg,False,0,0 1 2 3,50,151,0.76116,0.07948,016.35,0.78353,43,0.62784,32,0.79614,40,0.83712,36
mlp,50,5,auto,fedavg,False,0,0 1 2 3,51,154,0.76116,0.07948,016.26,0.78353,44,0.62784,33,0.79614,41,0.83712,36
mlp,50,5,auto,fedavg,False,0,0 1 2 3,52,157,0.76116,0.07948,016.15,0.78353,45,0.62784,34,0.79614,42,0.83712,36
mlp,50,5,auto,fedavg,False,0,0 1 2 3,53,160,0.76116,0.07948,016.75,0.78353,46,0.62784,34,0.79614,43,0.83712,37
mlp,50,5,auto,fedavg,False,0,0 1 2 3,54,163,0.76116,0.07948,017.11,0.78353,47,0.62784,35,0.79614,43,0.83712,38
mlp,50,5,auto,fedavg,False,0,0 1 2 3,55,166,0.76116,0.07948,013.03,0.78353,47,0.62784,36,0.79614,44,0.83712,39
