Model,BatchSize,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-1(f1),client-1(rounds),client-2(f1),client-2(rounds),client-3(f1),client-3(rounds),client-4(f1),client-4(rounds)
mlp,50,5,auto,fedavg,False,0,0 1 2 3,56,169,0.76116,0.07948,017.01,0.78353,48,0.62784,37,0.79614,45,0.83712,39
mlp,50,5,auto,fedavg,False,0,0 1 2 3,57,172,0.76116,0.07948,016.94,0.78353,49,0.62784,37,0.79614,46,0.83712,40
mlp,50,5,auto,fedavg,False,0,0 1 2 3,58,175,0.76116,0.07948,012.57,0.78353,49,0.62784,38,0.79614,47,0.83712,41
mlp,50,5,auto,fedavg,False,0,0 1 2 3,59,178,0.76116,0.07948,016.75,0.78353,50,0.62784,39,0.79614,48,0.83712,41
mlp,50,5,auto,fedavg,False,0,0 1 2 3,60,181,0.76116,0.07948,017.70,0.78353,51,0.62784,40,0.79614,48,0.83712,42
mlp,50,5,auto,fedavg,False,0,0 1 2 3,61,184,0.76116,0.07948,011.47,0.78353,51,0.62784,41,0.79614,49,0.83712,43
mlp,50,5,auto,fedavg,False,0,0 1 2 3,62,187,0.76795,0.13017,012.37,0.65287,51,0.62354,42,0.90055,50,0.89482,44
mlp,50,5,auto,fedavg,False,0,0 1 2 3,63,190,0.76795,0.13017,017.67,0.65287,52,0.62354,43,0.90055,51,0.89482,44
mlp,50,5,auto,fedavg,False,0,0 1 2 3,64,193,0.76795,0.13017,016.58,0.65287,53,0.62354,43,0.90055,52,0.89482,45
mlp,50,5,auto,fedavg,False,0,0 1 2 3,65,196,0.76795,0.13017,017.43,0.65287,54,0.62354,43,0.90055,53,0.89482,46
mlp,50,5,auto,fedavg,False,0,0 1 2 3,66,199,0.76795,0.13017,018.11,0.65287,55,0.62354,43,0.90055,54,0.89482,47
mlp,50,5,auto,fedavg,False,0,0 1 2 3,67,202,0.76795,0.13017,012.00,0.65287,55,0.62354,44,0.90055,55,0.89482,48
mlp,50,5,auto,fedavg,False,0,0 1 2 3,68,205,0.76795,0.13017,018.23,0.65287,56,0.62354,44,0.90055,56,0.89482,49
